"","area_fips","year","qtr","size_code","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","avg_annual_pay","annual_avg_wkly_wage","area_title","state"
"27","C1254",2000,"A",0,"All establishment sizes",14125,239696,6809661719,28410,546,"Bakersfield-Delano, CA","CA"
"28","C1258",2000,"A",0,"All establishment sizes",62610,1191939,42449260121,35614,685,"Baltimore-Columbia-Towson, MD","MD"
"29","C1262",2000,"A",0,"All establishment sizes",4280,69180,1855600208,26823,516,"Bangor, ME","ME"
"30","C1270",2000,"A",0,"All establishment sizes",8378,88331,2627719538,29748,572,"Barnstable Town, MA","MA"
"31","C1294",2000,"A",0,"All establishment sizes",18628,337077,9895238186,29356,565,"Baton Rouge, LA","LA"
"32","C1298",2000,"A",0,"All establishment sizes",2939,62319,2016850213,32364,622,"Battle Creek, MI","MI"
"33","C1302",2000,"A",0,"All establishment sizes",2704,40916,1261287316,30826,593,"Bay City, MI","MI"
"34","C1314",2000,"A",0,"All establishment sizes",7966,156675,4816504786,30742,591,"Beaumont-Port Arthur, TX","TX"
"35","C1338",2000,"A",0,"All establishment sizes",6427,67900,1789124872,26349,507,"Bellingham, WA","WA"
"36","C1346",2000,"A",0,"All establishment sizes",4736,51821,1364658162,26334,506,"Bend-Redmond, OR","OR"
"37","C1346",2000,"A",0,"All establishment sizes",4736,51821,1364658162,26334,506,"Bend, OR","OR"
"38","C1374",2000,"A",0,"All establishment sizes",5641,67019,1774694149,26481,509,"Billings, MT","MT"
"39","C1378",2000,"A",0,"All establishment sizes",5220,114021,3481880434,30537,587,"Binghamton, NY","NY"
"40","C1382",2000,"A",0,"All establishment sizes",26953,482564,15717382152,32571,626,"Birmingham-Hoover, AL","AL"
"41","C1382",2000,"A",0,"All establishment sizes",26953,482564,15717382152,32571,626,"Birmingham, AL","AL"
"42","C1390",2000,"A",0,"All establishment sizes",3267,49677,1281745471,25802,496,"Bismarck, ND","ND"
"43","C1398",2000,"A",0,"All establishment sizes",3239,65006,1758110077,27045,520,"Blacksburg-Christiansburg-Radford, VA","VA"
"44","C1402",2000,"A",0,"All establishment sizes",3736,71318,1880677266,26370,507,"Bloomington, IN","IN"
"45","C1406",2000,"A",0,"All establishment sizes",3316,84891,2886259769,34000,654,"Bloomington-Normal, IL","IL"
"46","C1426",2000,"A",0,"All establishment sizes",15719,231607,7450317719,32168,619,"Boise City, ID","ID"
"47","C1446",2000,"A",0,"All establishment sizes",130219,2419441,116353823543,48091,925,"Boston-Cambridge-Newton, MA-NH","NH"
"48","C1450",2000,"A",0,"All establishment sizes",11912,179599,8192654334,45616,877,"Boulder, CO","CO"
"49","C1454",2000,"A",0,"All establishment sizes",2926,50505,1360947992,26947,518,"Bowling Green, KY","KY"
"50","C1474",2000,"A",0,"All establishment sizes",5963,71847,2197300905,30583,588,"Bremerton-Silverdale, WA","WA"
"51","C1474",2000,"A",0,"All establishment sizes",5963,71847,2197300905,30583,588,"Bremerton-Silverdale-Port Orchard, WA","WA"
"52","C1486",2000,"A",0,"All establishment sizes",31987,428461,26298273446,61379,1180,"Bridgeport-Stamford-Norwalk, CT","CT"
"53","C1486",2000,"A",0,"All establishment sizes",31987,428461,26298273446,61379,1180,"Bridgeport-Stamford-Danbury, CT","CT"
"54","C1518",2000,"A",0,"All establishment sizes",5756,108781,2348903485,21593,415,"Brownsville-Harlingen, TX","TX"
"55","C1526",2000,"A",0,"All establishment sizes",2907,40853,1025427694,25101,483,"Brunswick, GA","GA"
"56","C1526",2000,"A",0,"All establishment sizes",2907,40853,1025427694,25101,483,"Brunswick-St. Simons, GA","GA"
"57","C1538",2000,"A",0,"All establishment sizes",27554,537707,16963297184,31547,607,"Buffalo-Cheektowaga-Niagara Falls, NY","NY"
"58","C1538",2000,"A",0,"All establishment sizes",27554,537707,16963297184,31547,607,"Buffalo-Cheektowaga, NY","NY"
"59","C1550",2000,"A",0,"All establishment sizes",3659,64664,1768967594,27356,526,"Burlington, NC","NC"
"60","C1554",2000,"A",0,"All establishment sizes",7043,110785,3672037361,33146,637,"Burlington-South Burlington, VT","VT"
"61","C1594",2000,"A",0,"All establishment sizes",9503,182044,5169642397,28398,546,"Canton-Massillon, OH","OH"
"62","C1598",2000,"A",0,"All establishment sizes",12228,161758,4566360560,28230,543,"Cape Coral-Fort Myers, FL","FL"
"63","C1618",2000,"A",0,"All establishment sizes",1935,31014,974959192,31436,605,"Carson City, NV","NV"
"64","C1622",2000,"A",0,"All establishment sizes",2748,31242,913739284,29247,562,"Casper, WY","WY"
"65","C1630",2000,"A",0,"All establishment sizes",7562,133907,4433978782,33112,637,"Cedar Rapids, IA","IA"
"66","C1658",2000,"A",0,"All establishment sizes",4737,98586,2824443546,28650,551,"Champaign-Urbana, IL","IL"
"67","C1662",2000,"A",0,"All establishment sizes",8247,141614,4280799556,30229,581,"Charleston, WV","WV"
"68","C1670",2000,"A",0,"All establishment sizes",15311,241236,6660581039,27610,531,"Charleston-North Charleston, SC","SC"
"69","C1674",2000,"A",0,"All establishment sizes",42162,759626,27954669799,36801,708,"Charlotte-Concord-Gastonia, NC-SC","SC"
"70","C1682",2000,"A",0,"All establishment sizes",5243,87163,2677245189,30715,591,"Charlottesville, VA","VA"
"71","C1686",2000,"A",0,"All establishment sizes",10110,231359,6751533374,29182,561,"Chattanooga, TN-GA","GA"
"72","C1694",2000,"A",0,"All establishment sizes",2536,36512,946828954,25932,499,"Cheyenne, WY","WY"
"73","C1698",2000,"A",0,"All establishment sizes",223243,4385536,178967724968,40809,785,"Chicago-Naperville-Elgin, IL-IN-WI","WI"
"74","C1698",2000,"A",0,"All establishment sizes",223243,4385536,178967724968,40809,785,"Chicago-Naperville-Elgin, IL-IN","IN"
"75","C1702",2000,"A",0,"All establishment sizes",6440,71867,1803117620,25090,482,"Chico, CA","CA"
"76","C1714",2000,"A",0,"All establishment sizes",48476,995025,34314258154,34486,663,"Cincinnati, OH-KY-IN","IN"
"77","C1730",2000,"A",0,"All establishment sizes",3938,73462,1835962061,24992,481,"Clarksville, TN-KY","KY"
"78","C1742",2000,"A",0,"All establishment sizes",1767,39390,1076901820,27339,526,"Cleveland, TN","TN"
"79","C1746",2000,"A",0,"All establishment sizes",57605,1112718,39026618668,35073,674,"Cleveland-Elyria, OH","OH"
"80","C1766",2000,"A",0,"All establishment sizes",3934,42531,1033894510,24309,467,"Coeur d'Alene, ID","ID"
"81","C1778",2000,"A",0,"All establishment sizes",3903,81403,1996503395,24526,472,"College Station-Bryan, TX","TX"
"82","C1782",2000,"A",0,"All establishment sizes",14744,244180,8016093135,32829,631,"Colorado Springs, CO","CO"
"83","C1786",2000,"A",0,"All establishment sizes",4201,78157,2120854421,27136,522,"Columbia, MO","MO"
"84","C1790",2000,"A",0,"All establishment sizes",17155,322939,9340929303,28925,556,"Columbia, SC","SC"
"85","C1798",2000,"A",0,"All establishment sizes",5996,121351,3257902099,26847,516,"Columbus, GA-AL","AL"
"86","C1802",2000,"A",0,"All establishment sizes",1880,42998,1530805716,35602,685,"Columbus, IN","IN"
"87","C1814",2000,"A",0,"All establishment sizes",39761,885806,30265215087,34167,657,"Columbus, OH","OH"
"88","C1858",2000,"A",0,"All establishment sizes",9398,162839,4557863425,27990,538,"Corpus Christi, TX","TX"
"89","C1870",2000,"A",0,"All establishment sizes",2118,33547,1188016885,35414,681,"Corvallis, OR","OR"
"90","C1906",2000,"A",0,"All establishment sizes",2305,36694,901123809,24558,472,"Cumberland, MD-WV","WV"
"91","C1910",2000,"A",0,"All establishment sizes",126560,2712017,108940197487,40169,772,"Dallas-Fort Worth-Arlington, TX","TX"
"92","C1914",2000,"A",0,"All establishment sizes",3100,75512,2154331793,28530,549,"Dalton, GA","GA"
"93","C1918",2000,"A",0,"All establishment sizes",1746,32265,877041230,27183,523,"Danville, IL","IL"
"94","C1934",2000,"A",0,"All establishment sizes",10215,184976,5615491858,30358,584,"Davenport-Moline-Rock Island, IA-IL","IL"
"95","C1938",2000,"A",0,"All establishment sizes",19061,420495,14104614067,33543,645,"Dayton, OH","OH"
"96","C1946",2000,"A",0,"All establishment sizes",3269,56770,1671401666,29442,566,"Decatur, AL","AL"
"97","C1950",2000,"A",0,"All establishment sizes",2531,57446,1873513472,32614,627,"Decatur, IL","IL"
"98","C1966",2000,"A",0,"All establishment sizes",10196,141619,3556989216,25117,483,"Deltona-Daytona Beach-Ormond Beach, FL","FL"
"99","C1974",2000,"A",0,"All establishment sizes",72721,1177834,48646931519,41302,794,"Denver-Aurora-Lakewood, CO","CO"
"100","C1974",2000,"A",0,"All establishment sizes",72721,1177834,48646931519,41302,794,"Denver-Aurora-Centennial, CO","CO"
"101","C1978",2000,"A",0,"All establishment sizes",17210,291539,9612030314,32970,634,"Des Moines-West Des Moines, IA","IA"
"102","C1982",2000,"A",0,"All establishment sizes",106870,2092441,88390839120,42243,812,"Detroit-Warren-Dearborn, MI","MI"
"103","C2002",2000,"A",0,"All establishment sizes",3787,57720,1476002742,25572,492,"Dothan, AL","AL"
"104","C2010",2000,"A",0,"All establishment sizes",2702,50129,1356590847,27062,520,"Dover, DE","DE"
"105","C2022",2000,"A",0,"All establishment sizes",2894,50510,1386467968,27450,528,"Dubuque, IA","IA"
"106","C2026",2000,"A",0,"All establishment sizes",7695,124138,3530894878,28443,547,"Duluth, MN-WI","WI"
"107","C2050",2000,"A",0,"All establishment sizes",11295,253348,10787018538,42578,819,"Durham-Chapel Hill, NC","NC"
"108","C2074",2000,"A",0,"All establishment sizes",3664,75767,2018226013,26637,512,"Eau Claire, WI","WI"
"109","C2094",2000,"A",0,"All establishment sizes",4229,50223,1221093810,24314,468,"El Centro, CA","CA"
"110","C2106",2000,"A",0,"All establishment sizes",2456,41083,1106085154,26924,518,"Elizabethtown-Fort Knox, KY","KY"
"111","C2106",2000,"A",0,"All establishment sizes",2456,41083,1106085154,26924,518,"Elizabethtown, KY","KY"
"112","C2114",2000,"A",0,"All establishment sizes",4713,123117,3720500747,30219,581,"Elkhart-Goshen, IN","IN"
"113","C2130",2000,"A",0,"All establishment sizes",2004,41592,1150294125,27657,532,"Elmira, NY","NY"
"114","C2134",2000,"A",0,"All establishment sizes",12244,251417,6298071420,25050,482,"El Paso, TX","TX"
"115","C2150",2000,"A",0,"All establishment sizes",6842,131758,3742884871,28407,546,"Erie, PA","PA"
"116","C2166",2000,"A",0,"All establishment sizes",9868,139239,3883956037,27894,536,"Eugene, OR","OR"
"117","C2166",2000,"A",0,"All establishment sizes",9868,139239,3883956037,27894,536,"Eugene-Springfield, OR","OR"
"118","C2178",2000,"A",0,"All establishment sizes",8729,170528,5090471901,29851,574,"Evansville, IN-KY","KY"
"119","C2178",2000,"A",0,"All establishment sizes",8729,170528,5090471901,29851,574,"Evansville, IN","IN"
"120","C2182",2000,"A",0,"All establishment sizes",1989,32119,1073250814,33415,643,"Fairbanks, AK","AK"
"121","C2182",2000,"A",0,"All establishment sizes",1989,32119,1073250814,33415,643,"Fairbanks-College, AK","AK"
"122","C2202",2000,"A",0,"All establishment sizes",5907,98755,2665820559,26994,519,"Fargo, ND-MN","MN"
"123","C2214",2000,"A",0,"All establishment sizes",2506,42570,1191832707,27997,538,"Farmington, NM","NM"
"124","C2218",2000,"A",0,"All establishment sizes",5958,117159,3030611690,25867,497,"Fayetteville, NC","NC"
"125","C2222",2000,"A",0,"All establishment sizes",8316,158590,4536212109,28603,550,"Fayetteville-Springdale-Rogers, AR-MO","MO"
"126","C2222",2000,"A",0,"All establishment sizes",8316,158590,4536212109,28603,550,"Fayetteville-Springdale-Rogers, AR","AR"
"127","C2238",2000,"A",0,"All establishment sizes",3261,50853,1267244234,24920,479,"Flagstaff, AZ","AZ"
"128","C2242",2000,"A",0,"All establishment sizes",8917,165716,6040967282,36454,701,"Flint, MI","MI"
"129","C2250",2000,"A",0,"All establishment sizes",4825,85811,2413232960,28123,541,"Florence, SC","SC"
"130","C2252",2000,"A",0,"All establishment sizes",3450,53332,1341017680,25145,484,"Florence-Muscle Shoals, AL","AL"
"131","C2254",2000,"A",0,"All establishment sizes",2317,47261,1361382527,28806,554,"Fond du Lac, WI","WI"
"132","C2266",2000,"A",0,"All establishment sizes",8223,119093,3861500792,32424,624,"Fort Collins, CO","CO"
"133","C2266",2000,"A",0,"All establishment sizes",8223,119093,3861500792,32424,624,"Fort Collins-Loveland, CO","CO"
"134","C2290",2000,"A",0,"All establishment sizes",6167,115253,2908544742,25236,485,"Fort Smith, AR-OK","OK"
"135","C2302",2000,"A",0,"All establishment sizes",4421,72629,1841961381,25361,488,"Fort Walton Beach-Crestview-Destin, FL","FL"
"136","C2306",2000,"A",0,"All establishment sizes",9487,211836,6699964100,31628,608,"Fort Wayne, IN","IN"
"137","C2342",2000,"A",0,"All establishment sizes",25883,324397,8489311482,26169,503,"Fresno, CA","CA"
"138","C2346",2000,"A",0,"All establishment sizes",2204,37427,947278360,25310,487,"Gadsden, AL","AL"
"139","C2354",2000,"A",0,"All establishment sizes",5491,119763,3122503449,26072,501,"Gainesville, FL","FL"
"140","C2358",2000,"A",0,"All establishment sizes",3223,64694,1873753106,28963,557,"Gainesville, GA","GA"
"141","C2402",2000,"A",0,"All establishment sizes",3535,50077,1370814551,27374,526,"Glens Falls, NY","NY"
"142","C2414",2000,"A",0,"All establishment sizes",2509,45666,1120824765,24544,472,"Goldsboro, NC","NC"
"143","C2422",2000,"A",0,"All establishment sizes",2932,46529,1129742700,24280,467,"Grand Forks, ND-MN","MN"
"144","C2430",2000,"A",0,"All establishment sizes",3701,49911,1309523096,26237,505,"Grand Junction, CO","CO"
"145","C2434",2000,"A",0,"All establishment sizes",17385,389238,12959582554,33295,640,"Grand Rapids-Wyoming, MI","MI"
"146","C2434",2000,"A",0,"All establishment sizes",17385,389238,12959582554,33295,640,"Grand Rapids-Wyoming-Kentwood, MI","MI"
"147","C2450",2000,"A",0,"All establishment sizes",2733,32197,769645280,23904,460,"Great Falls, MT","MT"
"148","C2454",2000,"A",0,"All establishment sizes",4236,69319,2031685370,29309,564,"Greeley, CO","CO"
"149","C2458",2000,"A",0,"All establishment sizes",7263,158233,4858855424,30707,591,"Green Bay, WI","WI"
"150","C2466",2000,"A",0,"All establishment sizes",18781,363703,11218564430,30845,593,"Greensboro-High Point, NC","NC"
"151","C2478",2000,"A",0,"All establishment sizes",3683,70258,1927240591,27431,528,"Greenville, NC","NC"
"152","C2486",2000,"A",0,"All establishment sizes",15329,289705,8733668341,30147,580,"Greenville-Anderson-Mauldin, SC","SC"
"153","C2486",2000,"A",0,"All establishment sizes",15329,289705,8733668341,30147,580,"Greenville-Anderson-Greer, SC","SC"
"154","C2506",2000,"A",0,"All establishment sizes",5441,106210,2765029259,26034,501,"Gulfport-Biloxi-Pascagoula, MS","MS"
"155","C2506",2000,"A",0,"All establishment sizes",5441,106210,2765029259,26034,501,"Gulfport-Biloxi, MS","MS"
"156","C2518",2000,"A",0,"All establishment sizes",4893,91691,2578769382,28125,541,"Hagerstown-Martinsburg, MD-WV","WV"
"157","C2526",2000,"A",0,"All establishment sizes",2780,36464,927475999,25436,489,"Hanford-Corcoran, CA","CA"
"158","C2542",2000,"A",0,"All establishment sizes",12711,304355,10061074810,33057,636,"Harrisburg-Carlisle, PA","PA"
"159","C2550",2000,"A",0,"All establishment sizes",2635,55016,1456772367,26479,509,"Harrisonburg, VA","VA"
"160","C2554",2000,"A",0,"All establishment sizes",31755,606648,25639228228,42264,813,"Hartford-West Hartford-East Hartford, CT","CT"
"161","C2562",2000,"A",0,"All establishment sizes",2801,49107,1202381042,24485,471,"Hattiesburg, MS","MS"
"162","C2586",2000,"A",0,"All establishment sizes",8095,184403,4955738177,26874,517,"Hickory-Lenoir-Morganton, NC","NC"
"163","C2598",2000,"A",0,"All establishment sizes",816,14902,343196220,23031,443,"Hinesville, GA","GA"
"164","C2610",2000,"A",0,"All establishment sizes",5654,118885,3791892950,31896,613,"Holland-Grand Haven, MI","MI"
"165","C2618",2000,"A",0,"All establishment sizes",22371,405723,12913118379,31827,612,"Honolulu, HI","HI"
"166","C2630",2000,"A",0,"All establishment sizes",2741,34377,805063618,23419,450,"Hot Springs, AR","AR"
"167","C2638",2000,"A",0,"All establishment sizes",4865,76908,2183498097,28391,546,"Houma-Thibodaux, LA","LA"
"168","C2638",2000,"A",0,"All establishment sizes",4865,76908,2183498097,28391,546,"Houma-Bayou Cane-Thibodaux, LA","LA"
"169","C2642",2000,"A",0,"All establishment sizes",107586,2209073,88986719499,40282,775,"Houston-The Woodlands-Sugar Land, TX","TX"
"170","C2642",2000,"A",0,"All establishment sizes",107586,2209073,88986719499,40282,775,"Houston-Pasadena-The Woodlands, TX","TX"
"171","C2658",2000,"A",0,"All establishment sizes",6767,109442,2925471732,26731,514,"Huntington-Ashland, WV-KY-OH","OH"
"172","C2662",2000,"A",0,"All establishment sizes",8621,175496,6255171025,35643,685,"Huntsville, AL","AL"
"173","C2682",2000,"A",0,"All establishment sizes",3352,44613,1153696464,25860,497,"Idaho Falls, ID","ID"
"174","C2690",2000,"A",0,"All establishment sizes",39353,828690,28961375408,34948,672,"Indianapolis-Carmel-Anderson, IN","IN"
"175","C2690",2000,"A",0,"All establishment sizes",39353,828690,28961375408,34948,672,"Indianapolis-Carmel-Greenwood, IN","IN"
"176","C2698",2000,"A",0,"All establishment sizes",3985,71759,2110969608,29418,566,"Iowa City, IA","IA"
"177","C2706",2000,"A",0,"All establishment sizes",2221,46774,1476967584,31577,607,"Ithaca, NY","NY"
"178","C2710",2000,"A",0,"All establishment sizes",3325,60385,1914987908,31713,610,"Jackson, MI","MI"
"179","C2714",2000,"A",0,"All establishment sizes",12163,224080,6406582387,28591,550,"Jackson, MS","MS"
"180","C2718",2000,"A",0,"All establishment sizes",2523,57854,1658640515,28669,551,"Jackson, TN","TN"
"181","C2726",2000,"A",0,"All establishment sizes",27153,533942,16739655157,31351,603,"Jacksonville, FL","FL"
"182","C2734",2000,"A",0,"All establishment sizes",2554,40159,848081064,21118,406,"Jacksonville, NC","NC"
"183","C2750",2000,"A",0,"All establishment sizes",3300,67230,2099435844,31228,601,"Janesville-Beloit, WI","WI"
"184","C2762",2000,"A",0,"All establishment sizes",3669,72867,1990166610,27312,525,"Jefferson City, MO","MO"
"185","C2774",2000,"A",0,"All establishment sizes",3328,73045,1844391443,25250,486,"Johnson City, TN","TN"
"186","C2778",2000,"A",0,"All establishment sizes",3593,58304,1450957328,24886,479,"Johnstown, PA","PA"
"187","C2786",2000,"A",0,"All establishment sizes",2900,46007,1130416141,24570,473,"Jonesboro, AR","AR"
"188","C2790",2000,"A",0,"All establishment sizes",4347,76659,1918564080,25027,481,"Joplin, MO","MO"
"189","C2790",2000,"A",0,"All establishment sizes",4347,76659,1918564080,25027,481,"Joplin, MO-KS","KS"
"190","C2802",2000,"A",0,"All establishment sizes",7316,139773,4452080780,31852,613,"Kalamazoo-Portage, MI","MI"
"191","C2810",2000,"A",0,"All establishment sizes",2254,42801,1220861866,28524,549,"Kankakee, IL","IL"
"192","C2814",2000,"A",0,"All establishment sizes",53707,960130,33398884806,34786,669,"Kansas City, MO-KS","KS"
"193","C2842",2000,"A",0,"All establishment sizes",6622,83418,2634400984,31581,607,"Kennewick-Richland, WA","WA"
"194","C2866",2000,"A",0,"All establishment sizes",5006,104558,2585235775,24725,475,"Killeen-Temple, TX","TX"
"195","C2870",2000,"A",0,"All establishment sizes",6058,118527,3361243177,28358,545,"Kingsport-Bristol-Bristol, TN-VA","VA"
"196","C2870",2000,"A",0,"All establishment sizes",6058,118527,3361243177,28358,545,"Kingsport-Bristol, TN-VA","VA"
"197","C2874",2000,"A",0,"All establishment sizes",4536,61885,1654868037,26741,514,"Kingston, NY","NY"
"198","C2894",2000,"A",0,"All establishment sizes",14006,287716,8799575460,30584,588,"Knoxville, TN","TN"
"199","C2902",2000,"A",0,"All establishment sizes",2184,50157,1969145380,39260,755,"Kokomo, IN","IN"
"200","C2910",2000,"A",0,"All establishment sizes",3249,68656,1842029346,26830,516,"La Crosse-Onalaska, WI-MN","MN"
"201","C2914",2000,"A",0,"All establishment sizes",3707,85933,2598483835,30239,582,"Lafayette, IN","IN"
"202","C2918",2000,"A",0,"All establishment sizes",8042,124760,3631524746,29108,560,"Lafayette, LA","LA"
"203","C2934",2000,"A",0,"All establishment sizes",4845,87714,2488772185,28374,546,"Lake Charles, LA","LA"
"204","C2946",2000,"A",0,"All establishment sizes",9499,183041,5144087017,28103,540,"Lakeland-Winter Haven, FL","FL"
"205","C2954",2000,"A",0,"All establishment sizes",10832,218260,6703051175,30711,591,"Lancaster, PA","PA"
"206","C2962",2000,"A",0,"All establishment sizes",10511,217477,7366984355,33875,651,"Lansing-East Lansing, MI","MI"
"207","C2970",2000,"A",0,"All establishment sizes",3988,69021,1628509012,23594,454,"Laredo, TX","TX"
"208","C2974",2000,"A",0,"All establishment sizes",3461,57109,1348910646,23620,454,"Las Cruces, NM","NM"
"209","C2982",2000,"A",0,"All establishment sizes",28923,697227,22405832811,32136,618,"Las Vegas-Henderson-Paradise, NV","NV"
"210","C2982",2000,"A",0,"All establishment sizes",28923,697227,22405832811,32136,618,"Las Vegas-Henderson-North Las Vegas, NV","NV"
"211","C2994",2000,"A",0,"All establishment sizes",2866,46079,1153073080,25024,481,"Lawrence, KS","KS"
"212","C3002",2000,"A",0,"All establishment sizes",2144,36622,872383568,23821,458,"Lawton, OK","OK"
"213","C3014",2000,"A",0,"All establishment sizes",2493,42793,1178110490,27530,529,"Lebanon, PA","PA"
"214","C3030",2000,"A",0,"All establishment sizes",2021,26122,699321475,26771,515,"Lewiston, ID-WA","WA"
"215","C3034",2000,"A",0,"All establishment sizes",2829,47397,1242087581,26206,504,"Lewiston-Auburn, ME","ME"
"216","C3046",2000,"A",0,"All establishment sizes",12495,237785,7342461039,30879,594,"Lexington-Fayette, KY","KY"
"217","C3062",2000,"A",0,"All establishment sizes",2762,59448,1699105804,28581,550,"Lima, OH","OH"
"218","C3070",2000,"A",0,"All establishment sizes",7100,152330,4312974020,28313,544,"Lincoln, NE","NE"
"219","C3078",2000,"A",0,"All establishment sizes",17252,310802,9165934832,29491,567,"Little Rock-North Little Rock-Conway, AR","AR"
"220","C3086",2000,"A",0,"All establishment sizes",2718,41338,929536934,22486,432,"Logan, UT-ID","ID"
"221","C3098",2000,"A",0,"All establishment sizes",5112,82873,2188158125,26404,508,"Longview, TX","TX"
"222","C3102",2000,"A",0,"All establishment sizes",3240,38582,1165661611,30213,581,"Longview, WA","WA"
"223","C3102",2000,"A",0,"All establishment sizes",3240,38582,1165661611,30213,581,"Longview-Kelso, WA","WA"
"224","C3110",2000,"A",0,"All establishment sizes",375473,5505519,217941431954,39586,761,"Los Angeles-Long Beach-Santa Ana, CA","CA"
"225","C3114",2000,"A",0,"All establishment sizes",31746,590931,18616065957,31503,606,"Louisville-Jefferson County, KY-IN","IN"
"226","C3118",2000,"A",0,"All establishment sizes",6579,117288,3068261817,26160,503,"Lubbock, TX","TX"
"227","C3134",2000,"A",0,"All establishment sizes",5764,102960,2831749971,27504,529,"Lynchburg, VA","VA"
"228","C3142",2000,"A",0,"All establishment sizes",5613,101309,2923473854,28857,555,"Macon, GA","GA"
"229","C3142",2000,"A",0,"All establishment sizes",5613,101309,2923473854,28857,555,"Macon-Bibb County, GA","GA"
"230","C3146",2000,"A",0,"All establishment sizes",2921,39016,934850602,23961,461,"Madera, CA","CA"
"231","C3154",2000,"A",0,"All establishment sizes",14146,304778,9757486567,32015,616,"Madison, WI","WI"
"232","C3170",2000,"A",0,"All establishment sizes",12219,193265,7579221542,39217,754,"Manchester-Nashua, NH","NH"
"233","C3190",2000,"A",0,"All establishment sizes",3028,61575,1769092915,28731,553,"Mansfield, OH","OH"
"234","C3258",2000,"A",0,"All establishment sizes",8409,162841,3535332444,21710,418,"McAllen-Edinburg-Mission, TX","TX"
"235","C3278",2000,"A",0,"All establishment sizes",5416,73432,1952563465,26590,511,"Medford, OR","OR"
"236","C3282",2000,"A",0,"All establishment sizes",23920,596432,19527245814,32740,630,"Memphis, TN-MS-AR","AR"
"237","C3290",2000,"A",0,"All establishment sizes",4753,64611,1602106346,24796,477,"Merced, CA","CA"
"238","C3310",2000,"A",0,"All establishment sizes",157989,2101265,71639206274,34093,656,"Miami-Fort Lauderdale-West Palm Beach, FL","FL"
"239","C3314",2000,"A",0,"All establishment sizes",2531,47385,1293099250,27289,525,"Michigan City-La Porte, IN","IN"
"240","C3326",2000,"A",0,"All establishment sizes",3903,51374,1597365379,31093,598,"Midland, TX","TX"
